#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Oct 11 19:55:25 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       EasyH3V3SWDUG4A3_map.ncd
#OUTPUT FILE:      EasyH3V3SWDUG4A3_pad.csv
#PART TYPE:        xc6slx16
#SPEED GRADE:      -2
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
F3,DioPort<41>,IOB,IO_L51N_M3A4_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F4,DioPort<42>,IOB,IO_L51P_M3A10_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F5,DioPort<62>,IOB,IO_L55N_M3A14_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F6,DioPort<64>,IOB,IO_L55P_M3A13_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F7,DioPort<79>,IOB,IO_L7P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F8,DioPort<77>,IOB,IO_L32N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F9,DioPort<101>,IOB,IO_L38N_VREF_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F10,DioPort<102>,IOB,IO_L40N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F11,DioPort<118>,IOB,IO_L42P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F12,DioPort<120>,IOB,IO_L51P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F13,DioPort<134>,IOB,IO_L63P_SCP7_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F14,DioPort<136>,IOB,IO_L30P_A21_M1RESET_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F15,DioPort<156>,IOB,IO_L1P_A25_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F16,DioPort<154>,IOB,IO_L1N_A24_VREF_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F17,DioPort<176>,IOB,IO_L35P_A11_M1A7_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F18,DioPort<171>,IOB,IO_L35N_A10_M1A2_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G1,DioPort<20>,IOB,IO_L46N_M3CLKN_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,DioPort<44>,IOB,IO_L46P_M3CLK_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G4,,,VCCO_3,,,3,,,,,3.30,,,,
G5,,,GND,,,,,,,,,,,,
G6,DioPort<59>,IOB,IO_L53N_M3A12_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,DioPort<78>,IOB,IO_L32P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G9,DioPort<103>,IOB,IO_L38P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,DioPort<117>,IOB,IO_L40P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G12,,,GND,,,,,,,,,,,,
G13,DioPort<135>,IOB,IO_L32N_A16_M1A9_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G14,DioPort<133>,IOB,IO_L30N_A20_M1A11_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G15,,,VCCO_1,,,1,,,,,3.30,,,,
G16,DioPort<153>,IOB,IO_L38P_A5_M1CLK_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
G17,,,GND,,,,,,,,,,,,
G18,DioPort<174>,IOB,IO_L38N_A4_M1CLKN_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H1,DioPort<15>,IOB,IO_L41N_GCLK26_M3DQ5_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H2,DioPort<13>,IOB,IO_L41P_GCLK27_M3DQ4_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H3,DioPort<39>,IOB,IO_L44N_GCLK20_M3A6_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H4,DioPort<37>,IOB,IO_L44P_GCLK21_M3A5_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H5,DioPort<57>,IOB,IO_L49N_M3A2_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H6,DioPort<58>,IOB,IO_L49P_M3A7_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H7,DioPort<80>,IOB,IO_L53P_M3CKE_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCINT,,,,,,,,1.2,,,,
H12,DioPort<119>,IOB,IO_L32P_A17_M1A8_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H13,DioPort<140>,IOB,IO_L36P_A9_M1BA0_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H14,DioPort<138>,IOB,IO_L36N_A8_M1BA1_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H15,DioPort<160>,IOB,IO_L37P_A7_M1A0_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H16,DioPort<155>,IOB,IO_L37N_A6_M1A1_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H17,DioPort<175>,IOB,IO_L43P_GCLK5_M1DQ4_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
H18,DioPort<173>,IOB,IO_L43N_GCLK4_M1DQ5_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
J1,DioPort<14>,IOB,IO_L40N_M3DQ7_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
J2,,,VCCO_3,,,3,,,,,3.30,,,,
J3,DioPort<38>,IOB,IO_L40P_M3DQ6_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
